side,entry,exit,pnl,pnl_pct,bars,reason
long,78257.98,78188.27071428573,-0.08890070115429684,-0.08907626508410926,2,sl
long,78413.92,78219.19785714286,-0.24781447778435928,-0.24832598964206198,1,sl
long,78048.58,78074.75285714286,0.033456674325753916,0.0335340593548894,1,sl
long,78065.97,78025.51571428572,-0.05170279016353457,-0.05182064056116209,1,sl
long,77106.01,76984.73999999999,-0.15691116426594018,-0.1572769749076719,1,sl
long,76638.04,76458.79071428571,-0.23331004217116863,-0.23389074892087303,1,sl
long,78737.25,78602.17857142858,-0.17108110594650366,-0.17154704866048087,1,sl
long,78358.75,78401.66,0.054602849221637224,0.05476095522198854,4,sl
long,78382.22,78397.05571428571,0.01887378366870202,0.018927397419599146,1,sl
long,78229.81,78257.14928571429,0.034849068970192555,0.03494740139888819,1,sl
long,78443.41,78468.58857142857,0.03200855656988666,0.03209775228865119,2,sl
long,78832.98,78690.16357142857,-0.1806656688253862,-0.18116330065339747,1,sl
long,78249.42,78181.29071428571,-0.0868119340416277,-0.08706682517810593,1,sl
long,78450.55,78392.83571428571,-0.07334596744274016,-0.07356772605709994,2,sl
long,78736.97,78686.98,-0.06329383294242373,-0.06348987013343743,1,forced
long,78801.22,78732.57,-0.08684343312635354,-0.08711794055979993,2,forced
long,78921.69,79150.34285714285,0.2887831192328231,0.28972118709424954,1,sl
long,79259.35,79233.71214285714,-0.032251399876699186,-0.032346792072945885,1,sl
long,80316.31,80221.25571428571,-0.11799708000177397,-0.11834991636727743,5,sl
long,78916.91,78940.26,0.029496379749987197,0.029588081945930433,1,forced
long,78957.72,79150.91142857143,0.24392595148485482,0.2446770608009352,1,sl
long,80384.58,80293.29071428573,-0.11324474645782294,-0.11356566858254924,3,sl
long,81562.07,81538.09,-0.029314508524827455,-0.029400921286093507,5,forced
long,82014.77,81816.05142857143,-0.24157683898548102,-0.242296078411941,1,sl
long,80572.94,80453.77214285714,-0.14742583213563748,-0.14790059434701686,1,sl
long,80391.18,80362.21642857142,-0.035907332284950584,-0.03602829493057902,1,sl
long,80805.51,80782.15,-0.0288108218503863,-0.028908919701142732,2,forced
long,81378.25,81282.79714285715,-0.11689389103419413,-0.1172952934510807,1,sl
long,81302.23,81209.73285714287,-0.11336686724311408,-0.11376950282560028,1,sl
long,81285.13,81158.19857142857,-0.15558543426181043,-0.15615577974893435,1,sl
long,80953.38,80832.33428571429,-0.14895582164412968,-0.14952521350648507,1,sl
long,77499.75,77542.98357142857,0.05556469296995608,0.055785433409227814,5,sl
long,77553.46,77375.27571428572,-0.22886034910923195,-0.22975671970572042,1,sl
